CODCARRERA,EGRESO,LUGAR_LISTA,PREFERENCIA,DEPENDENCIA,COD_REGION_COLEGIO,PTJE_LENG,PTJE_MAT,PTJE_CIENCIAS,PTJE_HIST,PTJE_RANKING,RETENCION_AL_PRIMER_AÑO,RETENCION_AL_TERCER_AÑO,EXTRANJERO,CIUDAD_SEDE,GRATUIDAD,ETNIA,SEXO_(1F),TIPO_INGRESO_IEP-Excepción Lista espera Rep,TIPO_INGRESO_IRP-Lista de selección,TIPO_INGRESO_Otro ingreso,TIPO_COLEGIO_H1,TIPO_COLEGIO_H2,TIPO_COLEGIO_ND,TIPO_COLEGIO_T1,TIPO_COLEGIO_T2,TIPO_COLEGIO_T3,TIPO_COLEGIO_T5,EDAD_INGRESO
8483,2014,27.0,3.0,2.0,2.0,588.0,601.0,601.0,0.0,579.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,21
8483,2017,28.0,1.0,2.0,15.0,530.0,596.0,625.0,0.0,575.0,1,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2004,29.0,1.0,2.0,2.0,549.0,543.0,546.0,0.0,685.0,0,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,31
8483,2017,30.0,2.0,2.0,2.0,517.0,408.0,551.0,0.0,850.0,0,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2017,32.0,1.0,2.0,4.0,612.0,591.0,558.0,559.0,627.0,1,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8483,2016,34.0,1.0,3.0,2.0,637.0,564.0,545.0,0.0,624.0,1,0,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,20
8483,2016,36.0,1.0,3.0,2.0,604.0,558.0,586.0,0.0,592.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8483,2016,37.0,1.0,2.0,2.0,541.0,606.0,561.0,420.0,604.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8483,2016,39.0,1.0,3.0,2.0,663.0,465.0,537.0,584.0,647.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8483,2015,40.0,1.0,2.0,4.0,530.0,610.0,629.0,0.0,534.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,21
